probes,moduleColor,GS.PCD,p.GS.PCD,MEyellow,MEyellow
FGR,yellow,0.452854591,1.41081E-22,0.587515729,3.03948E-40
LAP3,yellow,0.303032733,2.3899E-10,0.251134359,1.89916E-07
M6PR,yellow,0.299460915,3.95913E-10,0.502020817,3.92044E-28
CASP10,yellow,0.213918706,1.00099E-05,0.497905013,1.24081E-27
CD38,yellow,0.225750484,3.04765E-06,0.498505604,1.04981E-27
HCCS,yellow,0.126879424,0.009324725,0.317842668,2.7359E-11
SKAP2,yellow,0.227773099,2.47073E-06,0.448670886,3.81972E-22
MCUB,yellow,0.260204158,6.52823E-08,0.635844894,7.58917E-49
MSL3,yellow,0.220901419,5.00106E-06,0.751592306,2.30427E-77
SOX8,yellow,0.275519096,9.79479E-09,0.486698271,2.64393E-26
MYCBP2,yellow,0.335985374,1.62626E-12,0.652885841,2.93432E-52
ITGAL,yellow,0.156115711,0.001347158,0.568002924,3.65327E-37
KDM7A,yellow,0.322651564,1.3185E-11,0.339615894,9.03631E-13
ETV1,yellow,0.107014184,0.028504309,0.251738208,1.77107E-07
CEACAM21,yellow,0.175953972,0.000295511,0.400188168,1.51381E-17
CD79B,yellow,0.122988619,0.011749975,0.672471452,1.82992E-56
MMP25,yellow,0.341664168,6.46447E-13,0.635451053,9.04765E-49
MASP2,yellow,-0.114677647,0.018867848,-0.324428893,1.00341E-11
TRAF3IP3,yellow,0.298467467,4.55031E-10,0.908111907,9.5215E-160
MLXIPL,yellow,-0.547118451,4.36109E-34,-0.262485913,4.95817E-08
ETV7,yellow,0.189099166,9.84455E-05,0.416621486,5.06004E-19
IFFO1,yellow,-0.141999621,0.003582616,0.339592136,9.07135E-13
STAB1,yellow,0.421574909,1.75019E-19,0.456508076,5.84535E-23
CD4,yellow,0.429598716,3.01902E-20,0.502404837,3.51804E-28
BTK,yellow,0.408598127,2.72234E-18,0.879531628,1.4075E-136
HIVEP2,yellow,0.328033429,5.73524E-12,0.469011421,2.64141E-24
DCN,yellow,0.612419018,1.72016E-44,0.396398509,3.22834E-17
ZBTB32,yellow,0.095986712,0.049592163,0.758454819,1.49948E-79
TYROBP,yellow,0.378354649,1.04263E-15,0.619910216,7.63434E-46
CD22,yellow,0.182134318,0.000177925,0.716118154,4.14887E-67
ALOX5,yellow,0.329067692,4.87813E-12,0.408147738,2.98802E-18
NUB1,yellow,0.038195908,0.435508825,0.390041842,1.12532E-16
CD6,yellow,0.363447173,1.57101E-14,0.899872174,2.3275E-152
CCDC88C,yellow,0.199034148,4.07687E-05,0.62387118,1.42099E-46
WAS,yellow,0.401655763,1.12605E-17,0.862709853,1.5083E-125
RUFY3,yellow,0.141184905,0.003781113,0.391341524,8.73672E-17
MARCO,yellow,0.320961274,1.70669E-11,0.047827432,0.328748682
CD74,yellow,0.332675707,2.76014E-12,0.600935648,1.7393E-42
ADGRA2,yellow,0.546664125,5.05998E-34,0.403062581,8.46777E-18
RUNX3,yellow,0.46849633,3.00846E-24,0.891485731,1.7934E-145
RNH1,yellow,0.072734578,0.137183612,0.299366351,4.01202E-10
DEF6,yellow,0.288188247,1.86202E-09,0.889932361,2.9313E-144
PLEKHO1,yellow,0.26141334,5.64447E-08,0.633133021,2.53294E-48
TYMP,yellow,0.258119974,8.37406E-08,0.253630935,1.42125E-07
SLAMF7,yellow,0.330147281,4.11709E-12,0.780822587,3.22648E-87
BTN3A1,yellow,0.114853603,0.018684897,0.440873528,2.35744E-21
PRKCH,yellow,0.524453154,5.53739E-31,0.845126179,1.7423E-115
SH2D2A,yellow,0.293749429,8.74881E-10,0.624821978,9.457E-47
TNFRSF1B,yellow,0.3721692,3.26837E-15,0.536357482,1.38828E-32
POU2F2,yellow,0.30270552,2.50373E-10,0.842939706,2.5369E-114
RABEP1,yellow,0.28198314,4.24283E-09,0.308797395,1.04286E-10
IKZF2,yellow,0.260435834,6.34916E-08,0.624076415,1.30158E-46
GRN,yellow,0.144201634,0.003092481,0.405174524,5.50588E-18
CHPF2,yellow,0.239615763,6.95419E-07,0.448806529,3.69914E-22
SLC4A7,yellow,0.383660168,3.83717E-16,0.565421516,9.01386E-37
NSMAF,yellow,0.257987884,8.50664E-08,0.579277751,6.43212E-39
STAP1,yellow,0.165983108,0.000646941,0.762171951,9.13549E-81
MAT2B,yellow,0.021083384,0.666959468,0.281593676,4.46491E-09
MSR1,yellow,0.521302105,1.43397E-30,0.576023721,2.09728E-38
RIPOR1,yellow,0.327670542,6.06951E-12,0.50866414,5.905E-29
INPP4A,yellow,0.308319541,1.11784E-10,0.652500361,3.52487E-52
CAPG,yellow,0.303680839,2.17912E-10,0.544336656,1.07972E-33
LCP2,yellow,0.544202267,1.12782E-33,0.904901917,8.6504E-157
